Name,URL,Description,Image
Vividh Bharati,https://air.pc.cdn.bitgravity.com/air/live/pbaudio001/playlist.m3u8,,images/vividh-bharati.jpg
AIR Gujarati,https://air.pc.cdn.bitgravity.com/air/live/pbaudio135/playlist.m3u8,,images/air-gujarati.jpg
AIR Punjabi,https://air.pc.cdn.bitgravity.com/air/live/pbaudio138/playlist.m3u8,,images/air-punjabi.jpg
AIR Malayalam,https://air.pc.cdn.bitgravity.com/air/live/pbaudio230/playlist.m3u8,,images/malayalam.jpg
AIR Tamil,https://air.pc.cdn.bitgravity.com/air/live/pbaudio025/playlist.m3u8,,images/air-tamil.jpg
All India Radio Srinagar,https://air.pc.cdn.bitgravity.com/air/live/pbaudio136/playlist.m3u8,,images/radio-kashmir.jpg
AIR Odia,https://air.pc.cdn.bitgravity.com/air/live/pbaudio137/playlist.m3u8,,images/air-odia.jpg
AIR Assamese,https://air.pc.cdn.bitgravity.com/air/live/pbaudio133/playlist.m3u8,,images/air-assamese.jpg
FM Tragopan Kohima,https://air.pc.cdn.bitgravity.com/air/live/pbaudio220/playlist.m3u8,,images/airkohima-1.jpg
FM Rainbow Goa,https://air.pc.cdn.bitgravity.com/air/live/pbaudio048/playlist.m3u8,,images/fmgoa.jpg
AIR Bhuj,https://air.pc.cdn.bitgravity.com/air/live/pbaudio195/playlist.m3u8,,images/bhuj.png
AIR Indore,https://air.pc.cdn.bitgravity.com/air/live/pbaudio212/playlist.m3u8,,images/indore.png
AIR Mysuru,https://air.pc.cdn.bitgravity.com/air/live/pbaudio177/playlist.m3u8,,images/mysuru-1.jpg
AIR Adilabad,https://air.pc.cdn.bitgravity.com/air/live/pbaudio218/playlist.m3u8,,images/adilabad-1.jpg
AIR Jaipur,https://air.pc.cdn.bitgravity.com/air/live/pbaudio192/playlist.m3u8,,images/airjaipur-1.jpg
AIR Varanasi,https://air.pc.cdn.bitgravity.com/air/live/pbaudio094/playlist.m3u8,,images/airvaranasi.jpg
AIR Sangli,https://air.pc.cdn.bitgravity.com/air/live/pbaudio106/playlist.m3u8,,images/airsangli-1.jpg
AIR Rajkot,https://air.pc.cdn.bitgravity.com/air/live/pbaudio155/playlist.m3u8,,images/airrajkot.jpg
AIR Prayagraj,https://air.pc.cdn.bitgravity.com/air/live/pbaudio125/playlist.m3u8,,images/airallahabad.jpg
"AIR Mhadei, Panaji",https://air.pc.cdn.bitgravity.com/air/live/pbaudio049/playlist.m3u8,,images/airmhadei.jpg
AIR Hassan,https://air.pc.cdn.bitgravity.com/air/live/pbaudio172/playlist.m3u8,,images/airhassan-1.jpg
AIR Madurai,https://air.pc.cdn.bitgravity.com/air/live/pbaudio126/playlist.m3u8,,images/airmadurai-1.jpg
AIR Kolhapur,https://air.pc.cdn.bitgravity.com/air/live/pbaudio063/playlist.m3u8,,images/airkolhapur-1.jpg
AIR Suratgarh,https://air.pc.cdn.bitgravity.com/air/live/pbaudio064/playlist.m3u8,,images/airsuratgarh-1.jpg
