Name,URL,Description,Image
Mirchi Love,https://drive.uber.radio/uber/bollywoodlove/icecast.audio,"Mirchi Love 104.2 FM, India’s first Love song station is here. Just Pyar Kiye ja! Mirchi Love radio station that plays you the best bollywood romantic hits 24/7. From Rajesh Khanna to Ranbir Kapoor, from Sharmila Tagore to Deepika, from Kishore to Arijit and Asha to Shreya on Mirchi Love, you will get to hear love songs from the 60s to 2016s. So tune in and get your ‘mush’ fix today. We guarantee once you fall in Mirchi love, you won’t be able to fall out. Mirchi Love ka hai vaada, yaha hai ads kam aur gaane zyada!
Listen to Mirchi love radio Hindi only on Liveradios.in",images/mirchilove-1.jpg
Big FM 106.2,https://funasia.streamguys1.com/live4,"BIG 106.2, is a South Asian radio station playing Pure Music all day long. At the studios of BIG 106.2, we use the magic of radio to entertain our listeners and and spread happiness.Listen to Big FM radio station online playing bollywood songs and interviews.Big FM 106.2 live online only on Liveradios.in",images/bignew1-1.jpg
Radio Olive Retro,https://playerservices.streamtheworld.com/api/livestream-redirect/RADIO_OLIVE_RETRO_S03_SC,"Radio Olive Retro is the first ever Hindi retro radio station, Radio Olive Retro launches in the State of Qatar. The channel purely focuses on infotainment.Listen to Radio olive retro on liveradios.in",images/RADIO-OLIVE-RETRO.png
Radio Active 90.4 FM,https://node-22.zeno.fm/xwhhyc5nyk8uv,"Radio Active 90.4 FM Radio Active 90.4 MHz is Bhagalpur’s first FM Radio Station from Bihar, operated under parent organization “LOKHIT”. Launched in 2011, the station is a platform for different communities to converge/ unite, share ideas, encourage creative expressions.Radio Active seeks to promote inclusion, good governance, policy advocacy issues and enhance community cohesion by dialogues to support collective problem-solving and promote initiatives by collaboration and partnerships.Listen to Radio Active 90.4 FM online.",images/radioactive.jpg
Bolly 102.9 FM,https://ice6.securenetsystems.net/INTRADIO?type=.mp3,"Bolly 102.9 FM is the FIRST 24×7 Indian FM Radio Station ! in Washington D.C. Metro area  Bolly 102.9 FM is the true voice of South Asians living in the DMV (District,Maryland and Virginia) and reaches to more than 400,000 listeners who rely on Bolly 102.9 as the only entertainment medium that plays current Bollywood hits, Top 20, 90s Music, Bollywood Dance numbers along with music in Telugu, Tamil and Malayalam with original Local Programming..Bolly 102.9 FM most popular shows are – Morning DC with RJ Snehal, Request Hours with Priyanka, Rock on with Rohit, Masti hours with Priyanka and Bolly Flashback with RJ Aryan.Listen to Bolly 102.9 FM Hindi radio station online.",images/bollyradio.jpg
Radio Badal,https://stream.zeno.fm/nhrtcxg09u8uv,Radio Badal Har Pal Ki Khusi plsys non stop Hindi and Bhojpuri songs.Radio Badal is being broadcasted from Siwan Bihar.Listen to super hit Hindi Classic songs only on Radio Badal.,images/radiobadal-1.jpg
Lyca Radio 1458 AM,https://ads-direct.sharp-stream.com/1458.mp3,"Lyca Radio 1458 AM For the best of Asian music, news & entertainment – tune in to LycaRadio1458 today! On MW,DAB, Online & Mobile app.
Music has always been the soul of Asian Families. Without music we can’t celebrate any Birthday, Engagement, Wedding or Anniversary.Festivals like Holi, Diwali, Navratri, Eid and even our National Days also are celebrated with special songs. We relate every emotion of our life with Music.Lyca Radio 1458 aims to entertain you 24/7/365 with a variety of shows presented by our energetic presenters.With different genre of our evolving shows, we will make you pray, think, learn, teach, cry and laugh.Music that will touch your heart & soul.
Music that will make you move & shake…We at “Lyca” have taken a Big Step to make “Music more special and Radio more fun” in your lives…Let’s walk together in this Great Musical Journey.Lyca Radio 1458… Together and Forever.
Lyca radio website http://www.lycaradio.com/Lyca Radio 1458 AM live streaming online only on Liveradios.in",images/lycaradio.jpg
Abee Radio,https://abee.radioca.st/stream,"Abee radio was created by a group of friends that love music and want other to share with the entire world. Playing music 24 X 7.Abee radio plays bollywood retro and classical songs.Listen to abee radio online.
Telephone: 201-528-5149 Email:comments@abeeradio.com Text:201-528-5149",images/abeeradio.jpg
Radio Pragya 90.4 MHZ,https://stream.zenolive.com/g42tzhe29f8uv,"Listen all Programmes of Radio Pragya 90.4 MHz-Good Morning Kushinagar.Kheti Bari.
Ladies First- Special program for Ladies.Hello Pragya.Rangoli.Master Mind of The Week.Mitti Ke Rang, Radio Pragya ke sang.Happy listening, Jan Ka Radio… Man Ka Radio…Radio Pragya 90.4 MHz live streaming online only on Liveradios.in",images/radiopragya.jpg
Aajtak News Radio,https://feeds.intoday.in/aajtak/api/master.m3u8,"Aaj Tak Radio, we will bring to you what you love—what is important, what makes your soul richer and what pumps life into you every day. While you are working in the kitchen, or on your morning walk, or while you are stuck in heaving traffic—we will be there to ask you to hang in and listen to our news, conversations and podcasts,Tune in for latest news analysis and topical conversations with experts.
Listen to Aajtak News radio only on Liveradios.in",images/aajtak.jpg
